Handle,Command,Metafield: custom.option_set_v2 [single_line_text_field]
lemon-drop-martini-kit,MERGE,Card | Engraved Glass | Engraved Bottle
flavored-margarita-trio,MERGE,Card | Engraved Glass | Engraved Bottle
cosmopolitan-cocktail-kit,MERGE,Card | Engraved Glass | Engraved Bottle
rose-all-day-set,MERGE,Card | Engraved Glass | Engraved Bottle
white-wine-cheese-set,MERGE,Card | Engraved Glass | Engraved Bottle
champagne-chocolate-celebration,MERGE,Card | Engraved Glass | Engraved Bottle
mimosa-brunch-kit,MERGE,Card | Engraved Glass | Engraved Bottle
the-chocoholic-box,MERGE,Card
sparkling-sweet-zero-proof,MERGE,Card
self-care-and-sip,MERGE,Card
vodka-martini-gift-set,MERGE,Card | Engraved Glass | Engraved Bottle
moscow-mule-gift-set,MERGE,Card | Engraved Glass | Engraved Bottle
bloody-mary-gift-set,MERGE,Card | Engraved Glass | Engraved Bottle
classic-gin-tonic-set,MERGE,Card | Engraved Glass | Engraved Bottle
